Area;ISO3 Code;Year;Months;ETC - Standard Deviation (°C);Temperature change (°C)
Africa;X06;1961;Meteorological year;0.24;-0.017
Africa;X06;1962;Meteorological year;0.24;-0.04
Africa;X06;1963;Meteorological year;0.24;0.064
Africa;X06;1964;Meteorological year;0.24;-0.153
Africa;X06;1965;Meteorological year;0.24;-0.197
Africa;X06;1966;Meteorological year;0.24;0.138
Africa;X06;1967;Meteorological year;0.24;-0.209
Africa;X06;1968;Meteorological year;0.24;-0.218
Africa;X06;1969;Meteorological year;0.24;0.354
Africa;X06;1970;Meteorological year;0.24;0.221
Africa;X06;1971;Meteorological year;0.24;-0.208
Africa;X06;1972;Meteorological year;0.24;-0.002
Africa;X06;1973;Meteorological year;0.24;0.377
Africa;X06;1974;Meteorological year;0.24;-0.237
Africa;X06;1975;Meteorological year;0.24;-0.23
Africa;X06;1976;Meteorological year;0.24;-0.26
Africa;X06;1977;Meteorological year;0.24;0.232
Africa;X06;1978;Meteorological year;0.24;0.077
Africa;X06;1979;Meteorological year;0.24;0.444
Africa;X06;1980;Meteorological year;0.24;0.366
Africa;X06;1981;Meteorological year;0.24;0.104
Africa;X06;1982;Meteorological year;0.24;0.217
Africa;X06;1983;Meteorological year;0.24;0.408
Africa;X06;1984;Meteorological year;0.24;0.333
Africa;X06;1985;Meteorological year;0.24;0.301
Africa;X06;1986;Meteorological year;0.24;0.283
Africa;X06;1987;Meteorological year;0.24;0.671
Africa;X06;1988;Meteorological year;0.24;0.608
Africa;X06;1989;Meteorological year;0.24;-0.019
Africa;X06;1990;Meteorological year;0.24;0.574
Africa;X06;1991;Meteorological year;0.24;0.386
Africa;X06;1992;Meteorological year;0.24;0.112
Africa;X06;1993;Meteorological year;0.24;0.407
Africa;X06;1994;Meteorological year;0.24;0.418
Africa;X06;1995;Meteorological year;0.24;0.58
Africa;X06;1996;Meteorological year;0.24;0.551
Africa;X06;1997;Meteorological year;0.24;0.588
Africa;X06;1998;Meteorological year;0.24;0.961
Africa;X06;1999;Meteorological year;0.24;0.666
Africa;X06;2000;Meteorological year;0.24;0.496
Africa;X06;2001;Meteorological year;0.24;0.677
Africa;X06;2002;Meteorological year;0.24;0.894
Africa;X06;2003;Meteorological year;0.24;0.999
Africa;X06;2004;Meteorological year;0.24;0.825
Africa;X06;2005;Meteorological year;0.24;1.1
Africa;X06;2006;Meteorological year;0.24;0.94
Africa;X06;2007;Meteorological year;0.24;0.818
Africa;X06;2008;Meteorological year;0.24;0.754
Africa;X06;2009;Meteorological year;0.24;1.011
Africa;X06;2010;Meteorological year;0.24;1.541
Africa;X06;2011;Meteorological year;0.24;0.949
Africa;X06;2012;Meteorological year;0.24;0.781
Africa;X06;2013;Meteorological year;0.24;1.014
Africa;X06;2014;Meteorological year;0.24;1.036
Africa;X06;2015;Meteorological year;0.24;1.208
Africa;X06;2016;Meteorological year;0.24;1.442
Africa;X06;2017;Meteorological year;0.24;1.224
Africa;X06;2018;Meteorological year;0.24;1.222
Africa;X06;2019;Meteorological year;0.24;1.415
Americas;X21;1961;Meteorological year;0.251;0.052
Americas;X21;1962;Meteorological year;0.251;-0.084
Americas;X21;1963;Meteorological year;0.251;0.253
Americas;X21;1964;Meteorological year;0.251;-0.251
Americas;X21;1965;Meteorological year;0.251;-0.304
Americas;X21;1966;Meteorological year;0.251;-0.101
Americas;X21;1967;Meteorological year;0.251;-0.107
Americas;X21;1968;Meteorological year;0.251;0.006
Americas;X21;1969;Meteorological year;0.251;0.11
Americas;X21;1970;Meteorological year;0.251;0.159
Americas;X21;1971;Meteorological year;0.251;-0.24
Americas;X21;1972;Meteorological year;0.251;-0.448
Americas;X21;1973;Meteorological year;0.251;0.173
Americas;X21;1974;Meteorological year;0.251;-0.286
Americas;X21;1975;Meteorological year;0.251;-0.125
Americas;X21;1976;Meteorological year;0.251;-0.133
Americas;X21;1977;Meteorological year;0.251;0.499
Americas;X21;1978;Meteorological year;0.251;-0.064
Americas;X21;1979;Meteorological year;0.251;-0.06
Americas;X21;1980;Meteorological year;0.251;0.509
Americas;X21;1981;Meteorological year;0.251;0.698
Americas;X21;1982;Meteorological year;0.251;-0.084
