,country_id,year,gdp,population,co2,coal_co2,flaring_co2,gas_co2,methane,nitrous_oxide,oil_co2,sta
0,0,1990,4.64137E+11,17048002,278.16,141.877,7.272,34.455,146.25,78.77,88.777,0.38
1,0,1991,4.61004E+11,17271092,279.534,146.083,7.001,32.786,146.66,77.78,88.177,0.42
2,0,1992,4.77843E+11,17462500,284.529,150.049,7.304,33.97,144.88,76.89,87.849,0.03
3,0,1993,5.00841E+11,17631514,288.874,150.096,7.137,35.67,143.46,76.61,90.318,0.23
4,0,1994,5.27346E+11,17805506,293.701,151.376,6.88,37.032,144.34,76.4,91.854,0.05
5,0,1995,5.49173E+11,18003002,305.056,155.735,7.061,39.847,143.46,76.19,96.068,0.1
6,0,1996,5.74551E+11,18211850,311.94,160.388,6.761,39.781,139.43,71.89,98.664,0.38
7,0,1997,6.00621E+11,18410254,320.333,167.683,6.687,41.09,142.61,71.8,98.381,0.17
8,0,1998,6.34305E+11,18601666,334.136,177.614,6.902,43.506,145.14,75.57,99.142,0.77
9,0,1999,6.64207E+11,18800892,343.959,183.231,7.165,45.564,161.77,93.12,100.809,0.23
10,0,2000,6.91887E+11,19017968,350.008,185.797,7.953,46.61,168.15,99.53,102.65,-0.11
11,0,2001,7.13626E+11,19248146,357.783,190.082,8.172,49.326,177.94,109.89,103.174,0
12,0,2002,7.46683E+11,19475842,362.537,191.147,8.007,50.589,172.55,103.81,105.452,0.57
13,0,2003,7.73869E+11,19699004,369.442,195.386,7.158,49.717,134.52,65.23,109.673,0.57
14,0,2004,8.0942E+11,19925060,382.873,202.225,6.858,52.534,151.88,85.45,113.759,0.37
15,0,2005,8.40555E+11,20171732,386.205,200.715,6.914,54.492,133.37,62.61,116.499,0.91
16,0,2006,8.68839E+11,20467032,392.436,204.401,7.046,55.826,154.45,84.77,117.392,0.36
17,0,2007,9.13876E+11,20830832,399.676,203.559,7.504,61.064,150.36,77.99,119.464,0.55
18,0,2008,9.42109E+11,21247876,404.256,204.688,7.483,61.803,133.42,61.66,122.288,0.28
19,0,2009,9.64938E+11,21660898,407.477,206.066,7.966,63.482,138.83,66.92,122.364,0.71
20,0,2010,9.94068E+11,22019166,405.512,200.552,8.19,64.632,129.67,54.45,124.551,0.21
21,0,2011,1.02604E+12,22357032,404.257,192.141,7.874,66.868,178.12,107.79,129.801,-0.14
22,0,2012,1.06416E+12,22729272,406.58,189.154,8.287,68.09,177.6,107.45,133.681,0.06
23,0,2013,1.08711E+12,23111788,399.288,176.363,8.846,69.87,142.24,64.52,137.311,1.07
24,0,2014,1.11747E+12,23469578,393.049,168.146,9.273,70.772,155.18,76.54,137.684,0.83
25,0,2015,1.14539E+12,23820240,401.378,174.205,10.828,71.501,151.88,72.58,137.711,0.78
26,0,2016,1.17648E+12,24195706,410.254,179.562,12.44,73.936,135.53,58.32,137.44,0.87
27,0,2017,1.20534E+12,24590336,413.655,176.932,14.861,75.431,158.05,80.09,139.481,0.74
28,1,1990,2.07979E+11,7678732,62.167,18.139,0.102,11.836,11.85,4.98,28.9,0.74
29,1,1991,2.15993E+11,7755640,65.766,18.7,0.111,12.502,11.85,5.01,31.407,0
